id;title;author;year;type;publisher;artist;quality;price;location;genre;weight;pages;isbn;description;image;notes;user_id
133;Dracula;Stoker, Bram;1965;Hardcover w/ slipcase;Heritage Press;Hoffmann, Felix (illustrator);Used, Good ;100;Sycamore: 5th;Novel;NULL;NULL;N;NULL;133;Sandglass included.;2
134;100 European Drawings in the Metropolitan Museum of Art;Jacob Bean;1964;Hardcover w/ Jacket;New York Graphic Society;NULL;Used;50;Sycamore: 3rd, Left;NULL;NULL;NULL;N;NULL;134;Jacket ripped;2
135;Complete poems of Edgar Allan Poe, (The American poets);Poe, Edgar Allan;1943;Hardcover w/ slipcase;Heritage Press;NULL;Good ;40;Sycamore: 3rd, Right;Poetry;NULL;NULL;N;NULL;135;Sandglass missing.;2
136;English Literature in the Sixteenth Century Excluding Drama;Lewis, C.S.;1954;Hardcover, missing jacket;Oxford University Press;NULL;Good , Like New;100;Sycamore:;Literature;NULL;NULL;N;NULL;136;First Edition. Up to $400 with dust jacket.;2
203;Fasanella's City: The Paintings of Ralph Fasanella with the Story of His Life and Art;Watson, Patrick;1974;Softcover;Ballantine;Fasanella, Ralph;Used, Good ;50;Sycamore: 3rd, Left;Art, History;NULL;NULL;N;NULL;203;"First Edition. \"G.L.K.\" stamp inside.";2
204;First Things;Adams, George A. (designer);1947;Hardcover;Platt & Munk Co.;Adams, George A. (designer);Fair ;50;Aaron's Place;Childrens;NULL;NULL;N;NULL;204;Very first book Aaron owned. ;2
205;Monet;Seitz, William C.;1960;Hardcover w/ jacket;Abrams;Monet;Used, Good ;100;Sycamore: 3rd, Left;Art;NULL;NULL;N;NULL;205;NULL;2
137;1897 Sears Roebuck Catalogue;Israel, Fred L;1968;Hardcover w/ Jacket;Chelsea House;NULL;Used, Fair ;50;Sycamore: Bottom;Business, Economics & Industry;2.55;720;9;Imagine it's the end of the nineteenth century, and, with one catalog, you can buy everything from beds and tools to clothing and opium. (Yes, opium.) Not to mention ear trumpets, horse buggies, and Bibles. The 1897 Sears, Roebuck & Co. Catalogue is both a wonderfully fascinating collector's item and a valuable piece of American history. For every recognizable item included, there are plenty of others guaranteed to confuse or interest 21st century readerslike Bust Cream or Food and Sweet Spirits of Nitre. What was once standard household fare is today a sometimes strange, often funny look at what life was once like for the average American family. It's amazing to see that a Princely Shirt for Princely Men cost $0.95 or three for $2.75 or that a Complete Violin Outfit (with bow and case) cost only $2.00.;137;NULL;2
138;Dawn of European Civilization The Dark Ages, The;Rice, David;1966;Hardcover w/ jacket;McGraw-Hill;NULL;Used, Good ;40;Sycamore: Bottom;History;NULL;NULL;N;NULL;138;First Edition;2
139;A Conrad Argosy;"Conrad, Joseph\\; McFee, William (Introduction)";1942;Hardcover, missing jacket;Doubleday, Doran & Co.;Mueller, Hans Alexander (Woodcuts);Good;50;Sycamore: 5th;Novel;4.45;713;9;A collection of fourteen Conrad stories.;139;NULL;2
140;Drawings of the Masters: 20th Century Drawings, Part I: 1900-1940;Johnson, Una E.;1964;Hardcover w/ slipcase;Shorewood;NULL;Used, Good ;40;Sycamore: 4th, Left;Art;NULL;NULL;N;NULL;140;"First Edition 12 Vol. set. Fading on the slipcase. \"Joan Kapor\" written inside.";2
141;Flounder, The;Grass, Günter;1977;Hardcover, Missing Jacket;Harcourt Brace Jovanovich;NULL;Good shape;100;Sycamore: 2nd, Left;Novel;NULL;NULL;N;NULL;141;"First Edition. \"Luke Kapor - July, 10, 1979\" with \"G.L.K.\" inside front page.";2
143;Drawings of the Masters: 20th Century Drawings, Part II: 1940 to the Present;Johnson, Una E.;1964;Hardcover w/ slipcase;Shorewood;NULL;Used, Good ;40;Sycamore: 4th, Left;Art;1.75;312;9;NULL;143;First Edition 12 Vol. set. Fading on the slipcase.;2
144;"A Treatise on Atonement\\; In Which the Finite Nature of Sin is Argued, Its Cause and Consequences as Such, the Necessity and Nature of Atonement, and its Glorious Consequences, in the Final Reconciliation of All Men to Holiness and Happiness.";Ballou, Hosea;1853;Hardcover;A. Tompkins;NULL;Good;50;Sycamore:;Religion, Politics, Universalism;NULL;NULL;N;NULL;144;NULL;2
145;Encyclopedia of Mythology, The;Cotterell, Arthur;1996;Hardcover w/ jacket;Smithmark;NULL;Used, Good Condition;40;Sycamore:;Mythology, Folklore, Reference;NULL;NULL;N;NULL;145;NULL;2
146;Andersonville;Kantor, MacKinlay;1955;Hardcover, missing jacket;World Publishing;Lerner, Abe (designer);Fair ;30;Sycamore:;Novel;NULL;NULL;N;NULL;146;First Edition.;2
147;A Wall of Separation?: Debating the Public Role of Religion;"Segers, Mary\\; Jelen, Ted G.\\; Cochran, Clarke E.";1998;Softcover;Rowman & Littlefield Pub;NULL;Like New;50;Sycamore:;History, Education, Politics, Relgion;NULL;NULL;N;NULL;147;NULL;2
148;English Literature in the Earlier Seventeenth Century 1600-1660;Bush, Douglas;1952;Hardcover, missing jacket;Oxford University Press;NULL;Good , Like New;40;Sycamore:;Literature;NULL;NULL;N;NULL;148;NULL;2
149;Ansel Adams;Pritzker, Barry;2002;Hardcover w/ jacket;JG Press;Adams, Ansel;Good ;30;Sycamore: 3rd, Left;Photography;NULL;NULL;N;NULL;149;"\"To Aaron, from Mom & Dad, Christmas 2002\" written inside";2
151;Explorations of Captain James Cook in the Pacific The;Price, A. Grenfell, (editor);1958;Hardcover w/ slipcase;Heritage Press;Ingleton, Geoffrey C. (illustrator);Used, Good ;40;Sycamore:;Biography, Journal, History;NULL;NULL;N;NULL;151;Sandglass included. Bookplate inside.;2
152;Art of the Potter: Redware and Stoneware, The;Stradling, Diana and J. Garrison Stradling (editors);1977;Paperback;Main Street;NULL;Used, Fair ;30;Sycamore: 3rd, Left;Art;NULL;NULL;N;NULL;152;First Edition.;2
153;Adventures of Huckleberry Finn, The;Twain, Mark;1940;Hardcover w/ slipcase;Heritage Press;Rockwell, Norman (illustrator);Fair ;50;Sycamore: 2nd, Right;Novel, Classics;NULL;NULL;N;NULL;153;"Kapor bookplate inside. \"G.L.K.\" stamp inside. Sandglass missing.";2
154;Familiar Quotations;John Bartlett;1942;Hardcover;Little, Brown and Company;NULL;Used;40;Sycamore: 3rd, Right;NULL;NULL;NULL;N;NULL;154;"\"John Hyde 1944, Ellington, Connecticut\"";2
155;Baudelaire, Rimbaud, Verlaine: Selected Verse and Prose Poems;Bernstein, Joseph M.;1957;Hardcover;Citadel;NULL;Used;30;Sycamore: Top;NULL;NULL;NULL;N;NULL;155;Missing jacket;2
156;Adventures of Tom Sawyer, The;Twain, Mark;1936;Hardcover w/ slipcase;Heritage Press;Rockwell, Norman (illustrator);Fair ;50;Sycamore: 2nd, Right;Novel, Classics;NULL;NULL;N;NULL;156;"Kapor bookplate inside. \"G.L.K.\" stamp inside. Sandglass missing.";2
157;Golden Treasury of Poetry, The;Untermeyer, Louis;1958;Hardcover;Golden press;Anglund, Joan Walsh;Good ;100;Sycamore: 3rd, Right;Poetry;NULL;NULL;N;NULL;157;"Little bit of wear on the spine. \"Melinda Kapor\" bookplate inside.";2
158;Flash to the Core;Davis, Joshua;2002;Softcover;New Riders;Davis, Joshua;Used;40;Aaron's Place;Instructional;NULL;NULL;N;NULL;158;First Edition;2
159;Beating the Unbeatable Foe : One Man's Victory over Communism;Schwarz, Frederick;1996;Hardcover w/ jacket;Regnery;NULL;Used, Good ;30;Sycamore:;Politics, Religion;2.2;599;9;"By the time Joseph Stalin died in 1953, Communism was a rapidly spreading disease - one seemingly without a cure. Enter Dr. Frederick Schwarz, a \"pathologist of Communism\" who had already spent more than twenty years in the study of Communism's basic ideas. At Dr. Billy Graham's suggestion, Dr. Schwarz formed the United States Christian Anti-Communism Crusade (CACC). For the next four decades, the CACC was the steel spine of the American anti-Communist movement, helping to educate such great anti-Communist leaders as Ronald Reagan. Beating the Unbeatable Foe is Dr. Schwarz's first-hand account of his lifelong battle against Communism, his devotion to truth and freedom, and his vibrant Christian faith.";159;First Edition. ;2
160;American Prospects;Sternfeld, Joel;1994;Softcover;Chronicle;Sternfeld, Joel;Fair ;50;Sycamore: 4th, Left;Art, Photography;NULL;NULL;N;NULL;160;NULL;2
161;Great Prints & Printmakers;Wechsler, Herman J.;1967;Hardcover w/ plastic jacket;Abrams;NULL;Used, Good ;100;Sycamore: 3rd, Left;Art;NULL;NULL;N;NULL;161;First Edition.;2
162;Four Plays;Marlowe, Christopher;1966;Hardcover w/ slipcase;Heritage Press;Decaris, Albert (illustrator);Good;40;Sycamore:;Literature, Classics, Poetry;NULL;NULL;N;NULL;162;Sandglass included.;2
163;Beautiful California;NULL;1963;Hardcover w/ jacket;Lane Book Co.;NULL;Good;30;Sycamore: Bottom;Geography, California;3;319;N;Sunset pictoria for the traveler interested in a statewide view of California. Deluxe 1st Edition in slipcase.;163;First Edition, First Printing. ;2
206;Flowering of the Middle Ages, The;Brooke, Joan;1966;Hardcover w/ jacket;McGraw-Hill Book Company;NULL;Used, Fair ;50;Sycamore: Bottom;History;NULL;NULL;N;NULL;206;First Edition;2
164;American Yesterday;Sloane, Eric;1956;Hardcover w/ jacket;Funk & Wagnalls Co;Sloane, Eric;Good;50;Sycamore:;Art, Americana, Illustrations;NULL;128;9;"A compilation of engrossing facts and anecdotes vitalized by author Eric Sloane's own pen, this book captures the living legacy of America as seen in \"the things that were.\" According to Sloane, American Yesterday explores \"our national attic of vanishing ways and obsolete occupations.\" Impressed by the artistry and sturdy realism of pioneer builders, he takes genuine delight in exploring the unique careers of barber-surgeons, dowsers, tithingmen, sawyers, nailers, plumbum-men, and a great variety of artisans, illustrating the activities, customs, and things created by the people who made their living in \"antique ways.\" Sloane, a devoted student of early Americana, speaks lovingly of the people who spent much of their lives creating wardrobe closets, foot stoves, church pew armrests, grindstones, featherbed patter paddles, charcoal burners, English phaetons, giant hogsheads, drovers' sleighs, windowsill sundials, and other items of long ago. Credited with \"doing gallant service, preserving records of the ways and the means of the forefathers who got along well with the resources now long forgotten\" (Springfield Republican), Eric Sloane has written an immensely enjoyable book that will enchant anyone who takes pleasure in reading about the past and views its artifacts as part of a rich national heritage.";164;NULL;2
165;Handbook of Yokuts Indians;Latta, F. F.;1949;Hardcover, missing jacket;Kern County Museum;Rodriguez, Joe (illustrator);Good;400;Sycamore: Dining Room Cabinet;History, Guide;NULL;NULL;9;Written by Frank F. Latta and originally published in 1949, the Handbook of the Yokuts Indians is considered by many historians and cultural anthropologists to be the single most important work on the lives and culture of the more than 60 tribes that made.;165;NULL;2
166;Herbcraft: A Compendium of Myths, Romance, and Commensense;Schafer, Violet;1971;Softcover;Yerba Buena Press;Ng, Win (Illustrator);Used, Good ;40;Aaron's Place;Recipe;NULL;NULL;N;NULL;166;Great little book that just oozes early 70s hippie life. ;2
167;Birth Of Western Civilization: Greece And Rome, The;Grant, Michael ;1964;Hardcover w/ jacket;McGraw-Hill ;NULL;Used, Good ;30;Sycamore: Bottom;History;NULL;NULL;N;NULL;167;First Edition;2
168;An Edwardian Christmas;Goodall, John S.;1978;Hardcover w/ Jacket;Atheneum;Goodall, John S.;Good, Like New;50;Sycamore: Dining Room Cabinet;Childrens, Christmas;NULL;NULL;N;NULL;168;NULL;2
169;Landmark Books: American Revolution, The;Bliven Jr., Bruce;1958;Hardcover w/ jacket;Random House;Orbaan, Albert;Good, Like New;100;Sycamore: Top;History, Education, Youth;NULL;NULL;N;NULL;169;NULL;2
170;Heritage: Dickens - Personal History of David Copperfield, The;Dickens, Charles;1937;Hardcover w/ slipcase;Heritage Press;Austen, John (illustrator);Good, Like New;40;Sycamore: 2nd;Novel;NULL;NULL;N;NULL;170;Sandglass included.;2
171;Boat, The;Buchheim, Lothar-Gunther;1975;Hardcover, missing jacket;Knopf;NULL;Fair ;30;Sycamore: 2nd, Left;Novel;NULL;NULL;N;NULL;171;"\"G.L.K.\" stamp inside";2
172;Annie and the Mud Monster;Gackenbach, Dick;1982;Hardcover;Lothrop, Lee & Shepard Books;Gackenbach, Dick;Good, Like New;50;Sycamore:;Childrens;NULL;NULL;N;NULL;172;NULL;2
173;Little Drummer Girl, The;Le Carre, John;1983;Hardcover w/ Jacket;Knopf;NULL;Good ;100;Sycamore: 2rd, Left;Novel;NULL;NULL;N;The Little Drummer Girl is a spy novel by British writer John le Carré, published in 1983. The story follows the manipulations of Martin Kurtz, an Israeli spymaster who intends to kill Khalil – a Palestinian terrorist who is bombing Jewish-related targets in Europe, particularly Germany – and Charlie, an English actress and double agent working on behalf of the Israelis.;173;First Edition. ;2
174;In the Clearing;Frost, Robert;1964;Hardcover w/ Jacket;Holt Rineheart and Winston;NULL;Good ;40;Sycamore: 3rd, Right;Poetry;NULL;NULL;N;NULL;174;Jacket slightly damaged on top.;2
175;Bound Girl of Cobble Hill;Lois Lenski;1938;Hardcover, Missing Jacket;Frederick A. Stokes Co.;NULL;Used, Poor ;30;Sycamore: Top;Novel;NULL;NULL;N;NULL;175;"\"Melinda\" book plate, spine fading";2
176;April 1865: The Month That Saved America;Winik, Jay;2001;Hardcover w/ jacket;HarperCollins;Barth, Brian (designer);Used, Like New;50;Sycamore: 2rd, Left;Novel;NULL;NULL;N;One month in 1865 witnessed the frenzied fall of Richmond, a daring last-ditch Southern plan for guerrilla warfare, Lee's harrowing retreat, and then, Appomattox. It saw Lincoln's assassination just five days later and a near-successful plot to decapitate the Union government, followed by chaos and coup fears in the North, collapsed negotiations and continued bloodshed in the South, and finally, the start of national reconciliation.  In the end, April 1865 emerged as not just the tale of the war's denouement, but the story of the making of our nation.  Jay Winik offers a brilliant new look at the Civil War's final days that will forever change the way we see the war's end and the nation's new beginning. Uniquely set within the larger sweep of history and filled with rich profiles of outsize figures, fresh iconoclastic scholarship, and a gripping narrative, this is a masterful account of the thirty most pivotal days in the life of the United States.;176;First Edition. ;2
